Date and Time of Benchmark,CPU Vendor,CPU Model Name,CPU Architecture,CPU Cores,CPU Max MHz,CPU Min MHz,L1d Cache Size,L1i Cache Size,L2 Cache Size,L3 Cache Size,Total DRAM Size,security_standard_level,n,batch_size,depth,num_threads,power_latency_analysis,runtime_analysis,flamegraph_generation,build,compiler_optimizations,cold_caching,matrix_multiplication Time,matrix_multiplication Energy,matrix_multiplication Power,matrix_multiplication Memory Bandwidth,matrix_multiplication IPC,matrix_multiplication FLOPS,matrix_multiplication instructions,matrix_multiplication cpu-cycles,matrix_multiplication cache-references,matrix_multiplication cache-misses,matrix_multiplication branches,matrix_multiplication branch-misses,matrix_multiplication L1-dcache-loads,matrix_multiplication L1-dcache-load-misses,matrix_multiplication L1-icache-loads,matrix_multiplication L1-icache-load-misses,matrix_multiplication dTLB-loads,matrix_multiplication dTLB-load-misses,matrix_multiplication iTLB-loads,matrix_multiplication iTLB-load-misses,matrix_multiplication page-faults,matrix_multiplication minor-faults,matrix_multiplication fp_ops_retired_by_type.scalar_all,matrix_multiplication fp_ops_retired_by_type.scalar_add,matrix_multiplication fp_ops_retired_by_type.vector_all,matrix_multiplication fp_ops_retired_by_type.scalar_mul,sign_eval Time,sign_eval Energy,sign_eval Power,sign_eval Memory Bandwidth,sign_eval IPC,sign_eval FLOPS,sign_eval instructions,sign_eval cpu-cycles,sign_eval cache-references,sign_eval cache-misses,sign_eval branches,sign_eval branch-misses,sign_eval L1-dcache-loads,sign_eval L1-dcache-load-misses,sign_eval L1-icache-loads,sign_eval L1-icache-load-misses,sign_eval dTLB-loads,sign_eval dTLB-load-misses,sign_eval iTLB-loads,sign_eval iTLB-load-misses,sign_eval page-faults,sign_eval minor-faults,sign_eval fp_ops_retired_by_type.scalar_all,sign_eval fp_ops_retired_by_type.scalar_add,sign_eval fp_ops_retired_by_type.vector_all,sign_eval fp_ops_retired_by_type.scalar_mul,logistic_function Time,logistic_function Energy,logistic_function Power,logistic_function Memory Bandwidth,logistic_function IPC,logistic_function FLOPS,logistic_function instructions,logistic_function cpu-cycles,logistic_function cache-references,logistic_function cache-misses,logistic_function branches,logistic_function branch-misses,logistic_function L1-dcache-loads,logistic_function L1-dcache-load-misses,logistic_function L1-icache-loads,logistic_function L1-icache-load-misses,logistic_function dTLB-loads,logistic_function dTLB-load-misses,logistic_function iTLB-loads,logistic_function iTLB-load-misses,logistic_function page-faults,logistic_function minor-faults,logistic_function fp_ops_retired_by_type.scalar_all,logistic_function fp_ops_retired_by_type.scalar_add,logistic_function fp_ops_retired_by_type.vector_all,logistic_function fp_ops_retired_by_type.scalar_mul
2025-05-25 16:31:35,AuthenticAMD,AMD Ryzen 9 7950X 16-Core Processor,x86_64,32,5881.0,400.0,512 KiB (16 instances),512 KiB (16 instances),16 MiB (16 instances),64 MiB (2 instances),95659 MB,none,13,12,10,1,True,True,False,True,True,True,2.239868,150.7,134.26179178463946,625.5789970724337,3.39779803157056,8.677653207226438,11648436496.0,3428230986.0,362767436.0,10971424.0,593467421.0,1252733.0,2524339121.0,214130305.0,31794734.0,40847.0,2019352.0,382312.0,18696.0,10195.0,191197.0,17552.0,19344.0,30104.0,9750853.0,640.0,4.235688,271.16,127.88490924114204,621.8528163354625,3.4736783233349144,10.048941115215268,22634120134.0,6515894112.0,611618081.0,20602217.0,1130344255.0,10514020.0,4381889338.0,363926747.0,60442448.0,104266.0,4083244.0,358437.0,106072.0,37012.0,58069.0,47958.0,40707.0,15741.0,21282246.0,,1.693294,108.44,127.70462593638086,486.0543392369048,3.5087186382635966,8.016488311211132,9100345988.0,2593637999.0,235581571.0,6448931.0,445872180.0,3001389.0,1749338226.0,144682546.0,18070547.0,35719.0,1464105.0,177811.0,25889.0,10013.0,15673.0,15853.0,2386.0,7.0,6804798.0,704.0
2025-05-25 16:34:27,AuthenticAMD,AMD Ryzen 9 7950X 16-Core Processor,x86_64,32,5881.0,400.0,512 KiB (16 instances),512 KiB (16 instances),16 MiB (16 instances),64 MiB (2 instances),95659 MB,none,13,12,10,1,True,True,False,False,True,True,2.228848,144.01999999999998,128.94341960598928,616.1475194373118,3.400825316666476,8.275288202241155,11661772644.0,3429100750.0,358045425.0,10752968.0,600591057.0,1350493.0,2511096242.0,212354166.0,8714214.0,34263.0,2023307.0,381791.0,15985.0,8918.0,10309.0,10451.0,47130.0,155742.0,9351480.0,81523.0,4.270806,272.29,127.36312171319275,624.9876668866642,3.4790619149288524,9.71752974760782,22685437777.0,6520561672.0,610543556.0,20877547.0,1133863952.0,10253958.0,4381550277.0,365022604.0,63273365.0,103149.0,4108015.0,352583.0,103781.0,38433.0,67847.0,67439.0,13418.0,16725.0,20778443.0,8987.0,1.695578,108.72,127.86240913383568,500.4934745715868,3.491274736495512,,9105008946.0,2607932527.0,230825864.0,6649439.0,444542463.0,3118319.0,1741534270.0,145408108.0,19165084.0,35827.0,1371379.0,177051.0,27783.0,10817.0,18077.0,26346.0,4685.0,,6662712.0,737.0
2025-05-25 16:37:01,AuthenticAMD,AMD Ryzen 9 7950X 16-Core Processor,x86_64,32,5881.0,400.0,512 KiB (16 instances),512 KiB (16 instances),16 MiB (16 instances),64 MiB (2 instances),95659 MB,none,13,12,10,1,True,True,False,False,True,True,2.260082,147.06,129.8496036788072,577.4543438162503,3.386334202233047,8.537154946266845,11676080800.0,3448000139.0,359405910.0,10218605.0,591763117.0,1040561.0,2515375071.0,214711430.0,15950226.0,28285.0,2129111.0,384952.0,18894.0,9955.0,9169.0,9406.0,4069.0,1198.0,9665807.0,1320.0,4.252646,266.4,125.13957243039933,621.5734121624954,3.49518518500248,10.151535378939442,22743629371.0,6507131430.0,612303949.0,20675309.0,1129322434.0,10600848.0,4386293374.0,361628539.0,39830308.0,109786.0,3998592.0,348015.0,106770.0,38188.0,61778.0,55838.0,28178.0,22640.0,21605284.0,9665.0,1.668848,103.99,124.25262030960997,492.6609154475197,3.4923694911497773,8.026091974898558,9101598409.0,2606138449.0,231209084.0,6442496.0,445309580.0,2957367.0,1747683216.0,144552874.0,12272537.0,35438.0,1380865.0,183044.0,26819.0,13765.0,17263.0,16860.0,2749.0,325.0,6714805.0,1511.0
2025-05-25 16:39:34,AuthenticAMD,AMD Ryzen 9 7950X 16-Core Processor,x86_64,32,5881.0,400.0,512 KiB (16 instances),512 KiB (16 instances),16 MiB (16 instances),64 MiB (2 instances),95659 MB,none,13,12,10,1,True,True,False,False,True,True,2.233728,144.03,128.67128119181965,602.5218034526749,3.4036385019446374,8.625950986453022,11619722465.0,3413912041.0,368686390.0,10538144.0,595883956.0,1291469.0,2528925064.0,215126220.0,14191073.0,27464.0,2074441.0,385114.0,20283.0,11853.0,9398.0,9370.0,5495.0,747.0,9650831.0,1420.0,4.187554,265.55,126.6769611077162,635.3012621900635,3.4994241073551784,9.893943882416302,22748117989.0,6500531885.0,608837307.0,20808866.0,1131721994.0,10246837.0,4385893073.0,369213558.0,58086906.0,100262.0,4115578.0,348108.0,109449.0,43967.0,66007.0,66003.0,29770.0,13542.0,20724219.0,7806.0,1.700952,106.72,125.11489186096678,488.6867625818312,3.520087153354195,7.656095833880437,9111874143.0,2588536518.0,236928900.0,6513095.0,445330967.0,3880098.0,1748979031.0,145193324.0,19070701.0,34707.0,1509326.0,188650.0,27478.0,12442.0,9910.0,2296.0,2327.0,3.0,6528142.0,1675.0
2025-05-25 16:42:07,AuthenticAMD,AMD Ryzen 9 7950X 16-Core Processor,x86_64,32,5881.0,400.0,512 KiB (16 instances),512 KiB (16 instances),16 MiB (16 instances),64 MiB (2 instances),95659 MB,none,13,12,10,1,True,True,False,False,True,True,2.2117,137.70000000000002,124.23873325213157,605.019280913069,3.407345726664148,9.13323228222132,11711754573.0,3437207584.0,366793341.0,10477705.0,596228770.0,1121660.0,2518125401.0,214499416.0,14878942.0,27791.0,2095749.0,380261.0,18320.0,9614.0,9820.0,9687.0,308385.0,149204.0,9963637.0,273386.0,4.220322,270.32,127.95237854061772,637.2769431536815,3.497589584846577,9.759137883455985,22675931894.0,6483302670.0,603512759.0,21036721.0,1134707660.0,10276776.0,4383719273.0,365122927.0,55856286.0,103599.0,4161996.0,362805.0,86454.0,37540.0,99389.0,67663.0,38676.0,24230.0,20603304.0,9201.0,1.683048,106.91,126.66701420812676,539.6938475683156,3.465147251550888,7.730422357658076,9083393212.0,2621358503.0,235491278.0,7117415.0,447996083.0,3068455.0,1742128072.0,145538642.0,14606714.0,47507.0,1366485.0,215114.0,36397.0,12305.0,7740.0,5856.0,4177.0,306.0,6520791.0,589.0
2025-05-25 16:44:37,AuthenticAMD,AMD Ryzen 9 7950X 16-Core Processor,x86_64,32,5881.0,400.0,512 KiB (16 instances),512 KiB (16 instances),16 MiB (16 instances),64 MiB (2 instances),95659 MB,none,13,12,10,2,True,True,False,False,True,True,1.6629420000000001,124.68,149.50160137462814,1650.90816826964,2.2511667270118543,12.68484155923887,11677697550.0,5187397899.0,365025272.0,21512649.0,637033059.0,1617878.0,2553078441.0,218426481.0,13477524.0,40265.0,2133442.0,412433.0,29075.0,13650.0,10073.0,9975.0,693465.0,130770.0,10016095.0,294278.0,3.262892,238.35,145.8738538482912,1746.1837294500554,2.281130001891362,12.626666976754434,23014632837.0,10089136883.0,606458184.0,44580780.0,1210849756.0,11157924.0,4454102174.0,375196315.0,73228657.0,147022.0,4526364.0,443289.0,98827.0,52387.0,205493.0,308811.0,20610.0,14626.0,20625308.0,8189.0,1.2193040000000002,86.17999999999999,140.78202799304745,1514.3774487382218,2.46779969892978,,9225559204.0,3738374394.0,234697340.0,14484831.0,476774782.0,3850837.0,1770639787.0,147351776.0,16832368.0,44493.0,1454658.0,189962.0,30549.0,12562.0,47192.0,98679.0,2142.0,,6581995.0,1236.0
2025-05-25 16:46:38,AuthenticAMD,AMD Ryzen 9 7950X 16-Core Processor,x86_64,32,5881.0,400.0,512 KiB (16 instances),512 KiB (16 instances),16 MiB (16 instances),64 MiB (2 instances),95659 MB,none,13,12,10,2,True,True,False,False,True,True,1.6412680000000002,116.77,141.8602560457957,1644.3999057261638,2.2940339009114314,,11730159306.0,5113333025.0,364135321.0,21149398.0,625870787.0,1756291.0,2553738557.0,217555352.0,99366760.0,36016.0,2067675.0,381739.0,15723.0,9554.0,,,9751.0,,10040061.0,301598.0,3.273426,232.49,141.83025634862582,1836.2193076799656,2.2660731535206877,12.293844668142578,23090360097.0,10189591656.0,614422301.0,47030540.0,1209192426.0,11154885.0,4425245808.0,377590202.0,43340074.0,181934.0,4640676.0,550344.0,127663.0,58133.0,154286.0,256263.0,23777.0,10262.0,20138715.0,7712.0,1.2020140000000001,87.28,144.62135484758255,1502.2409483237143,2.474803157206412,11.102063439197888,9285758640.0,3752120088.0,234280774.0,14165827.0,469356020.0,4199399.0,1755131004.0,147543396.0,16738125.0,51717.0,1528942.0,203831.0,29715.0,14172.0,16713.0,16609.0,2812.0,190.0,6697551.0,1143.0
2025-05-25 16:48:38,AuthenticAMD,AMD Ryzen 9 7950X 16-Core Processor,x86_64,32,5881.0,400.0,512 KiB (16 instances),512 KiB (16 instances),16 MiB (16 instances),64 MiB (2 instances),95659 MB,none,13,12,10,2,True,True,False,False,True,True,1.6809220000000002,119.11,141.2995381755502,1589.252133847236,2.2692379352393237,11.93423420537842,11774212387.0,5188619582.0,364682439.0,20932462.0,633744323.0,1449961.0,2552168698.0,218383745.0,21042857.0,31769.0,2153469.0,361781.0,19357.0,13912.0,9244.0,9257.0,778160.0,65330.0,9347264.0,5316.0,3.2714920000000003,230.72,140.8335500285061,1849.4871612688205,2.2524696921573137,12.50031252937593,22929857673.0,10179874008.0,619141535.0,47342421.0,1215176080.0,11829292.0,4443319281.0,378102630.0,60764156.0,183525.0,4595704.0,512322.0,136086.0,55082.0,88723.0,74942.0,49140.0,67506.0,20496953.0,7839.0,1.2094660000000002,89.38,147.19226392505018,1577.9561914454584,2.445866928501481,10.942205051438243,9248524390.0,3781286824.0,235102733.0,14971673.0,475434283.0,3408416.0,1770867437.0,148553173.0,13897453.0,55401.0,1500967.0,231845.0,41896.0,13615.0,31821.0,54334.0,3889.0,1741.0,6642320.0,1469.0
2025-05-25 16:50:43,AuthenticAMD,AMD Ryzen 9 7950X 16-Core Processor,x86_64,32,5881.0,400.0,512 KiB (16 instances),512 KiB (16 instances),16 MiB (16 instances),64 MiB (2 instances),95659 MB,none,13,12,10,2,True,True,False,False,True,True,1.6690460000000003,120.5,143.96259123106532,1632.7013427349068,2.2834415489222417,11.359908867498262,11796919872.0,5166289401.0,365436424.0,21353259.0,638567275.0,1215767.0,2537411103.0,217056744.0,18268056.0,41967.0,2146512.0,385354.0,16762.0,13400.0,9865.0,10292.0,6296.0,806.0,9503015.0,1760.0,3.28485,233.18,141.75722297369182,1770.5518245512712,2.264469136970959,12.365387479672323,23012497373.0,10162424825.0,605166691.0,45506640.0,1213573616.0,11357213.0,4416434403.0,378657314.0,67839434.0,145297.0,4528853.0,448582.0,98236.0,52265.0,72550.0,72988.0,29089.0,20607.0,20331653.0,7897.0,1.206902,89.56,147.8007297619775,1497.350907911696,2.4250698941510813,11.224394381723936,9149427625.0,3772851103.0,232758480.0,14176895.0,472902984.0,3095148.0,1757297248.0,147013224.0,9747273.0,40221.0,1433135.0,194517.0,29666.0,12322.0,50084.0,21240.0,3611.0,1712.0,6799534.0,984.0
2025-05-25 16:52:43,AuthenticAMD,AMD Ryzen 9 7950X 16-Core Processor,x86_64,32,5881.0,400.0,512 KiB (16 instances),512 KiB (16 instances),16 MiB (16 instances),64 MiB (2 instances),95659 MB,none,13,12,10,2,True,True,False,False,True,True,1.6513160000000002,118.8,143.4508873910534,1646.1123215618272,2.2441261796363228,12.00779440638139,11722677099.0,5223715674.0,365085286.0,21300642.0,636257441.0,1161504.0,2549338558.0,217881897.0,13997944.0,34540.0,2108057.0,376465.0,20249.0,14675.0,9935.0,10452.0,62159.0,70478.0,9952670.0,5664.0,3.262236,238.6,146.05617714790117,1791.1432807424992,2.26934079377914,12.475301447462014,22862684744.0,10074592942.0,619482718.0,45719436.0,1217885282.0,11382870.0,4434590474.0,374766719.0,70803653.0,166183.0,4501791.0,501948.0,113214.0,53084.0,133450.0,281439.0,56724.0,14183.0,20337336.0,5137.0,1.20786,86.27,142.2587932655047,1463.7688504856294,2.464401777480521,10.997937107333083,9264376075.0,3759279903.0,233980277.0,13869896.0,470857712.0,3856172.0,1769448128.0,148820300.0,20992649.0,40948.0,1497326.0,202738.0,30055.0,16228.0,9745.0,4542.0,3944.0,1510.0,6667045.0,1125.0
2025-05-25 16:54:50,AuthenticAMD,AMD Ryzen 9 7950X 16-Core Processor,x86_64,32,5881.0,400.0,512 KiB (16 instances),512 KiB (16 instances),16 MiB (16 instances),64 MiB (2 instances),95659 MB,none,13,12,10,4,True,True,False,False,True,True,1.196052,103.55,172.43216779956242,2644.888780835468,1.5662925984022724,13.997560471986228,10243909438.0,6540227189.0,344819460.0,24817570.0,726886104.0,3750024.0,3271368343.0,233881676.0,48152595.0,60378.0,1943605.0,404298.0,28005.0,14336.0,34310.0,10598.0,15338.0,2092.0,8392653.0,1818.0,2.400974,195.93,162.86959044445203,2650.4779852151355,1.578951995540595,16.240439838501995,21659835531.0,13717855636.0,619226033.0,49820165.0,1473394667.0,19115334.0,4542425036.0,381785275.0,201765434.0,240339.0,4516589.0,537630.0,115616.0,64083.0,453043.0,2973286.0,36386.0,57417.0,19558069.0,7089.0,0.8899379999999998,76.14,170.1570388116272,2248.141936089428,1.7395053173196398,12.169924620476504,7906983929.0,4545535935.0,223905622.0,15718341.0,586785115.0,4972927.0,1826905063.0,143805130.0,36462600.0,56976.0,1323942.0,216543.0,28011.0,17128.0,1127003.0,3521759.0,6001.0,1418.0,5441081.0,1235.0
2025-05-25 16:56:57,AuthenticAMD,AMD Ryzen 9 7950X 16-Core Processor,x86_64,32,5881.0,400.0,512 KiB (16 instances),512 KiB (16 instances),16 MiB (16 instances),64 MiB (2 instances),95659 MB,none,13,12,10,4,True,True,False,False,True,True,1.183882,101.37,170.52996008014253,2500.887092242964,1.52134695544187,13.930144455042637,10163162362.0,6680371184.0,341140163.0,23228591.0,749640610.0,4078689.0,3245643145.0,234196688.0,54685687.0,49584.0,2073930.0,394060.0,18282.0,15805.0,31661.0,11816.0,5890.0,831.0,8275590.0,1791.0,2.408968,199.88,165.6028580329151,2876.790784302029,1.524768435776951,16.203453401204985,21973940051.0,14411329311.0,623018518.0,54253757.0,1482868507.0,20245590.0,4507411407.0,377561840.0,219122644.0,266601.0,4585339.0,576967.0,121483.0,68035.0,1506990.0,4536206.0,20377.0,51939.0,19588871.0,7331.0,0.88716,75.21000000000001,168.60204447632714,2190.971162123386,1.6974785091924147,,7901129440.0,4654627082.0,225341722.0,15271069.0,578018384.0,4907151.0,1843890234.0,148569356.0,35161484.0,76941.0,1334054.0,226167.0,38984.0,16416.0,700117.0,2518526.0,2777.0,,5620719.0,1102.0
2025-05-25 16:59:05,AuthenticAMD,AMD Ryzen 9 7950X 16-Core Processor,x86_64,32,5881.0,400.0,512 KiB (16 instances),512 KiB (16 instances),16 MiB (16 instances),64 MiB (2 instances),95659 MB,none,13,12,10,4,True,True,False,False,True,True,1.186566,101.32,170.0619185173125,2455.80786292996,1.5560516296453872,14.67486987711969,10069728382.0,6471333078.0,344820667.0,22861384.0,734554678.0,4048251.0,3302764478.0,237433664.0,46118528.0,63528.0,1997790.0,406379.0,24502.0,14366.0,29652.0,12698.0,70689.0,65537.0,8737886.0,6450.0,2.3847140000000002,191.29,160.09447155601046,3031.6201118627587,1.5020753605849049,16.417381326803124,21773190548.0,14495404904.0,626653100.0,56599258.0,1519874996.0,21816098.0,4615187469.0,382594132.0,207131741.0,283156.0,4543111.0,596679.0,145872.0,65463.0,1373043.0,4013148.0,49208.0,6522.0,19573737.0,8333.0,0.887494,73.19999999999999,164.03471619977273,2206.1727787525742,1.75458739214642,11.33549805376843,7902658563.0,4503998261.0,222382877.0,15382781.0,566859178.0,3821973.0,1822014298.0,147605991.0,32421478.0,55457.0,1218013.0,212739.0,24026.0,13279.0,980793.0,4038023.0,5924.0,341.0,5052849.0,911.0
2025-05-25 17:01:18,AuthenticAMD,AMD Ryzen 9 7950X 16-Core Processor,x86_64,32,5881.0,400.0,512 KiB (16 instances),512 KiB (16 instances),16 MiB (16 instances),64 MiB (2 instances),95659 MB,none,13,12,10,4,True,True,False,False,True,True,1.1840640000000002,98.85,166.26523046698912,2687.0758445298147,1.5232114945108397,13.910418614977829,10027529613.0,6583149910.0,346715655.0,24961759.0,746388336.0,4023225.0,3241624780.0,239263864.0,54379533.0,59070.0,2066980.0,391243.0,34179.0,15491.0,30894.0,11658.0,3455.0,1146.0,8267880.0,1682.0,2.4132540000000002,204.62,169.22953502816495,3044.0701894838176,1.5269746376049405,16.123027605867705,21962679340.0,14383133026.0,633298574.0,57510429.0,1492738529.0,19284898.0,4627767427.0,380625428.0,219629077.0,271938.0,4463218.0,553467.0,125926.0,62733.0,1165905.0,4508984.0,48732.0,16097.0,19462153.0,6933.0,0.8902059999999999,74.48,166.39745488747843,2009.5236180275824,1.8210915124858107,12.093437711543489,7989724463.0,4387327275.0,221382781.0,14054200.0,558210969.0,4208115.0,1825762685.0,146025814.0,30821025.0,55316.0,1340287.0,212212.0,28938.0,17373.0,741232.0,2494455.0,1922.0,6.0,5411143.0,868.0
2025-05-25 17:03:29,AuthenticAMD,AMD Ryzen 9 7950X 16-Core Processor,x86_64,32,5881.0,400.0,512 KiB (16 instances),512 KiB (16 instances),16 MiB (16 instances),64 MiB (2 instances),95659 MB,none,13,12,10,4,True,True,False,False,True,True,1.1869440000000002,95.53,160.29276543193302,2450.645493412442,1.5687087292169783,14.016111495170914,10085345005.0,6429074319.0,343416519.0,22820564.0,744359599.0,4518627.0,3264530194.0,230691361.0,46022733.0,59885.0,2075734.0,402919.0,26876.0,12047.0,28252.0,12613.0,68834.0,61013.0,8345389.0,5421.0,2.472918,210.54,169.93298406161946,2918.6912173849173,1.51116994620582,15.403495999464068,22097039869.0,14622471764.0,639180566.0,56502168.0,1483938949.0,19747232.0,4520123616.0,379085752.0,215886374.0,242571.0,4515794.0,542163.0,110127.0,58834.0,1317187.0,3996697.0,42599.0,23955.0,19065656.0,7914.0,0.881378,75.59,170.55928734693325,2259.4931913923856,1.704334183405415,,8000008951.0,4693920376.0,221361183.0,15646602.0,559370475.0,4864200.0,1866969746.0,146200082.0,39157925.0,57876.0,1348442.0,209260.0,28196.0,13627.0,982415.0,2726776.0,3114.0,,5407483.0,1005.0
2025-05-25 17:07:16,AuthenticAMD,AMD Ryzen 9 7950X 16-Core Processor,x86_64,32,5881.0,400.0,512 KiB (16 instances),512 KiB (16 instances),16 MiB (16 instances),64 MiB (2 instances),95659 MB,none,13,12,10,8,True,True,False,False,True,True,1.157728,122.28,210.3329411521869,3704.76096903145,0.2425486351980122,23.11446873215404,11258676465.0,46418222291.0,368244786.0,33653354.0,2168526784.0,36310403.0,3312402688.0,258686627.0,455047145.0,226096.0,3245478.0,617144.0,19211.0,66013.0,603223.0,1254411.0,883.0,421.0,13437458.0,367865.0,2.353926,238.73,202.40567105538707,4258.545348179638,0.2673765840866808,26.669397005247305,24040671612.0,89913152620.0,673159423.0,78481198.0,4332058238.0,80928840.0,6094285979.0,495054324.0,941307001.0,574863.0,5497982.0,1025649.0,93354.0,164479.0,13075985.0,24741439.0,74486.0,43352.0,31424433.0,3698.0,0.771084,85.13000000000001,219.38346879976916,3552.943897825493,0.3101547076345606,21.16202627550626,9245230695.0,29808448711.0,252230901.0,21542054.0,1463436636.0,25025082.0,2163256006.0,156979868.0,256633821.0,145168.0,1638408.0,290736.0,24624.0,49045.0,2750859.0,5301119.0,1242.0,242.0,8210755.0,274.0
2025-05-25 17:11:01,AuthenticAMD,AMD Ryzen 9 7950X 16-Core Processor,x86_64,32,5881.0,400.0,512 KiB (16 instances),512 KiB (16 instances),16 MiB (16 instances),64 MiB (2 instances),95659 MB,none,13,12,10,8,True,True,False,False,True,True,1.1400240000000001,122.56,214.0741154770555,3717.3915376446257,0.2277693574080587,23.919093398915656,10958460659.0,48112093671.0,337023393.0,33253926.0,2187294601.0,39305908.0,3129461493.0,238125348.0,424690132.0,214941.0,3113828.0,569676.0,17798.0,65629.0,1008704.0,1824934.0,2370.0,792.0,13692390.0,48350.0,2.3694319999999998,238.32,200.73853452109813,4428.842252799828,0.2612118517636591,23.776024750340294,24904512544.0,95342199735.0,732106686.0,82156131.0,4622051854.0,86111213.0,5967820868.0,482053368.0,926850965.0,583100.0,5752711.0,1007277.0,75118.0,170830.0,14901164.0,26217528.0,38542.0,6519.0,28195254.0,3163.0,0.774832,84.66,217.1236881789924,3761.306866094236,0.3076592027256367,21.386455031340084,8785883236.0,28557193018.0,225076551.0,22915527.0,1355033583.0,26957609.0,2083036951.0,166951305.0,271403436.0,166513.0,1921666.0,388320.0,29873.0,48163.0,2351030.0,6076041.0,1740.0,530.0,8337711.0,164.0
2025-05-25 17:14:50,AuthenticAMD,AMD Ryzen 9 7950X 16-Core Processor,x86_64,32,5881.0,400.0,512 KiB (16 instances),512 KiB (16 instances),16 MiB (16 instances),64 MiB (2 instances),95659 MB,none,13,12,10,8,True,True,False,False,True,True,1.122298,118.21,209.7227175068172,3537.095348346222,0.2464653940519884,26.319012364077643,11807672012.0,47908032109.0,381243909.0,31151254.0,2217238117.0,37219950.0,3117590282.0,238171629.0,421141250.0,242503.0,3229571.0,611309.0,14250.0,62262.0,537029.0,1049494.0,59676.0,158496.0,14933505.0,212246.0,2.319576,243.6,209.5866084825792,4374.613878832097,0.2557515523588992,25.87630260314139,24188834133.0,94579422529.0,699340060.0,79446269.0,4530822210.0,85362482.0,6299861008.0,488107482.0,907103487.0,569593.0,5464804.0,1024803.0,80661.0,167071.0,14323757.0,27875233.0,16574.0,5920.0,30065062.0,3934.0,0.772854,82.38,211.8135279885428,3729.0469419711153,0.28929779797463,17.518377484720784,8243854863.0,28496085766.0,223078492.0,22661360.0,1350856681.0,25537788.0,2252952135.0,178611867.0,284509188.0,143839.0,1883210.0,346153.0,32133.0,49576.0,2422390.0,4024363.0,1548.0,177.0,6811999.0,181.0
2025-05-25 17:18:39,AuthenticAMD,AMD Ryzen 9 7950X 16-Core Processor,x86_64,32,5881.0,400.0,512 KiB (16 instances),512 KiB (16 instances),16 MiB (16 instances),64 MiB (2 instances),95659 MB,none,13,12,10,8,True,True,False,False,True,True,1.158538,122.66,210.83969754318295,3848.860368978065,0.2170562288544163,22.972958339134603,11106560054.0,51169045517.0,342232840.0,34986682.0,2204817569.0,39981953.0,3442000734.0,261737169.0,455902925.0,232588.0,3031171.0,638645.0,17421.0,61330.0,454011.0,779437.0,546512.0,65606.0,12884049.0,220391.0,2.349714,240.89,204.60234236514495,4333.007983135107,0.2637366399449575,25.25803728181002,25011623064.0,94835602172.0,706267462.0,79710895.0,4424746977.0,84770581.0,6053592737.0,485567264.0,1020703711.0,572808.0,5482480.0,1057257.0,79014.0,176938.0,13784607.0,23297809.0,28666.0,2430.0,29711491.0,2260.0,0.773292,83.52,214.6238172819456,3455.5523325435697,0.2821720029536635,21.004057603059007,8298270473.0,29408553599.0,207278690.0,21011162.0,1338015799.0,21522547.0,2074899798.0,168617460.0,257013723.0,160476.0,1995474.0,372484.0,32362.0,47769.0,2424020.0,4721871.0,1314.0,86.0,8172417.0,237.0
2025-05-25 17:22:25,AuthenticAMD,AMD Ryzen 9 7950X 16-Core Processor,x86_64,32,5881.0,400.0,512 KiB (16 instances),512 KiB (16 instances),16 MiB (16 instances),64 MiB (2 instances),95659 MB,none,13,12,10,8,True,True,False,False,True,True,1.1251780000000002,123.88,219.22210483658324,3667.184857606501,0.2360196901307797,25.341956753714896,11600177615.0,49149194326.0,336897864.0,32379466.0,2244706167.0,36732696.0,3360290830.0,252278722.0,475322133.0,236235.0,3319711.0,645898.0,12586.0,67431.0,835891.0,918524.0,812.0,258.0,14319907.0,562.0,2.338606,244.13,208.3370668960568,4126.395771302856,0.2853837947328496,25.27284961721381,25290408990.0,88618938625.0,662084030.0,75551921.0,4237255211.0,77474064.0,5859739879.0,463650515.0,963297825.0,554299.0,5171780.0,968172.0,70783.0,165649.0,13004579.0,25634045.0,18804.0,6782.0,29602779.0,2374.0,0.773738,82.55000000000001,212.00968746869935,3635.708687645909,0.2860673354659215,22.47394630800089,8415642874.0,29418398505.0,238184706.0,22119254.0,1366637283.0,21294453.0,2176259828.0,154727134.0,239685076.0,140121.0,1824683.0,325323.0,31037.0,45117.0,2593033.0,5201862.0,811.0,149.0,8749996.0,436.0
